"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000284461.2",0,NA,NA,NA,NA,NA
"ENSG00000226824.7",0.674370496675353,0.766010247612433,0.511598222793025,1.48008904023136,0.138849486011642,NA
"ENSG00000154710.18",0.73181547808041,0.345408143179475,0.520204900188279,0.353370118089347,0.72381098493689,NA
"ENSG00000272831.1",0,NA,NA,NA,NA,NA
"ENSG00000271064.1",0,NA,NA,NA,NA,NA
"ENSG00000230583.7",0,NA,NA,NA,NA,NA
"ENSG00000232546.1",0,NA,NA,NA,NA,NA
"ENSG00000230295.1",0,NA,NA,NA,NA,NA
"ENSG00000212568.1",0,NA,NA,NA,NA,NA
"ENSG00000273142.1",0.0848085519143459,0.029817332983404,0.365076108682288,0.0728839583212187,0.941898459395009,NA
"ENSG00000179131.7",0,NA,NA,NA,NA,NA
"ENSG00000274135.1",0,NA,NA,NA,NA,NA
"ENSG00000106609.16",0.904314925171595,-0.411735818653172,0.558092193841034,-0.842514039266716,0.399500284640853,NA
"ENSG00000275878.1",0.0896760825736345,-0.0824243470944037,0.365061034087844,-0.236397224459135,0.813124449729345,NA
"ENSG00000126524.10",0.934715320626919,-0.0815034701015005,0.562082327132377,-0.169584137183624,0.865337198535208,NA
"ENSG00000198874.13",0.625573743968352,0.0346368090078128,0.510335842746956,0.0961081946887574,0.923434643017507,NA
"ENSG00000233383.1",0,NA,NA,NA,NA,NA
"ENSG00000266525.1",0,NA,NA,NA,NA,NA
"ENSG00000230358.5",0,NA,NA,NA,NA,NA
"ENSG00000067601.8",0.29615643903902,-0.0124086648646204,0.404929908333331,-0.0324625673756813,0.974103167192756,NA
"ENSG00000201565.1",0,NA,NA,NA,NA,NA
"ENSG00000106610.15",0.280396318211116,-0.150469753263913,0.398846669096171,-0.38560349378444,0.69979034531786,NA
"ENSG00000228019.1",0,NA,NA,NA,NA,NA
"ENSG00000273448.1",0,NA,NA,NA,NA,NA
"ENSG00000226392.1",0,NA,NA,NA,NA,NA
"ENSG00000237466.1",0,NA,NA,NA,NA,NA
"ENSG00000233423.1",0,NA,NA,NA,NA,NA
"ENSG00000223948.1",0,NA,NA,NA,NA,NA
"ENSG00000225209.2",0,NA,NA,NA,NA,NA
"ENSG00000236531.2",0,NA,NA,NA,NA,NA
"ENSG00000232975.1",0,NA,NA,NA,NA,NA
"ENSG00000226829.2",0,NA,NA,NA,NA,NA
"ENSG00000237754.1",0,NA,NA,NA,NA,NA
"ENSG00000225959.1",0,NA,NA,NA,NA,NA
"ENSG00000228429.1",0,NA,NA,NA,NA,NA
"ENSG00000222428.1",0,NA,NA,NA,NA,NA
"ENSG00000233689.2",0,NA,NA,NA,NA,NA
"ENSG00000200189.1",0,NA,NA,NA,NA,NA
"ENSG00000286466.1",0,NA,NA,NA,NA,NA
"ENSG00000225718.2",0,NA,NA,NA,NA,NA
"ENSG00000236839.1",0,NA,NA,NA,NA,NA
"ENSG00000230654.1",0,NA,NA,NA,NA,NA
"ENSG00000229031.1",0.310426857127846,0.0629164571372962,0.43010783512302,0.136186884266704,0.891673543403558,NA
